Headline;Summary;Organization;Category;File format;Views;Tags;URL
Iedzīvotāju iekšzemes migrācija starp statistiskajiem reģioniem, republikas pilsētām, novadiem, novadu pilsētām, pagastiem (atbilstoši robežām 2020. gada sākumā), apkaimēm un blīvi apdzīvotām teritorijām salīdzinot stāvokli divos datumos (eksperimentālā statistika);"Plūsmas starp laika periodiem 31.03.2000., 01.03.2011., 01.01.2016., 01.01.2017., 01.01.2018., 01.01.2019. un 01.01.2020. Iekļautas teritorijas, starp kurām plūsmā ir vismaz 10 iedzīvotāji. Neietver migrāciju no hierarhiski zemāka līmeņa teritorijas uz augstākām, kurās atrodas šī pati zemākā līmeņa teritorija (blīvi apdzīvotajām teritorijām – uz tām augstāku līmeņu teritoriju daļām, kas pārklājas ar blīvi apdzīvoto teritoriju), kā arī migrāciju uz/no nezināmām teritorijām.
Administratīvo teritoriju, teritoriālo vienību un statistisko reģionu klasifikators publicēts https://data.gov.lv/dati/dataset/atvk.
Apkaimes publicētas https://data.gov.lv/dati/dataset/apkaimes.
Blīvi apdzīvotas teritorijas publicētas https://data.gov.lv/dati/dataset/bat.
Eksperimentālās statistikas aprēķināšanā izmanto jaunus datu avotus un metodes, cenšoties paplašināt statistikas klāstu vai detalizācijas līmeni atbilstoši lietotāju vajadzībām. Jāatzīmē, ka eksperimentālās statistikas metodes nav nemainīgas, aprobētas un starptautiski saskaņotas un var tikt mainītas, lai pilnveidotu datu kvalitāti. CSP publicē eksperimentālo statistiku, lai saņemtu lietotāju atsauksmes, izvērtētu datu analītisko potenciālu, atbilstību realitātei un lietotāju vajadzībām. CSP uzskata, ka arī eksperimentālo datu laikrindas var būt noderīgas lietotājiem un statistikas lietotāju viedoklis ir pamats lēmuma pieņemšanai par šīs statistikas iekļaušanu Oficiālās statistikas programmā. Publicējot eksperimentālo statistiku, CSP nodrošina datu lietotājiem jaunus informācijas avotus lēmumu pieņemšanai.
Iedzīvotāju skaita aprēķins visos norādītajos periodos veikts, izmantojot ģeotelpiskos datus – adrešu punktu koordinātas un administratīvo teritoriju robežas atbilstoši Valsts zemes dienesta datiem norādītajā laika brīdī. Šādi samazinātas teritoriālo vienību robežu izmaiņu rezultātā radītās iedzīvotāju skaita svārstības attiecīgajā teritoriālajā vienībā vai administratīvajā teritorijā. Iedzīvotāji, kuru dzīvesvietas ziņu pēdējais aktualizēšanas iemesls ir dzīvesvietas reģistrācijas anulēšana, iekļauti tās administratīvās teritorijas iedzīvotāju skaitā, kurā iepriekš bija deklarēta vai reģistrēta šīs personas dzīvesvieta. Teritoriālo vienību un apkaimju dalījumā šo personu dzīvesvieta norādīta kā nezināma.
Plašāk par iedzīvotāju skaita un galveno demogrāfisko rādītāju novērtēšanu eksperimentālajā statistikā: https://stat.gov.lv/lv/metadati/8113-iedzivotaju-skaits-un-galvenie-demografiskie-raditaji-eksperimentala-statistika.";Centrālā statistikas pārvalde;Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, ;CSV, JSON, ;1612 skatījumi;administratīvā teri..., apkaime, bat, blīvi apdzīvota ter..., eksperimentālā stat..., migrācija, novads, pagasts, pilsēta, reģions, ;https://data.gov.lv/dati/lv/dataset/iekszemes-migracija
Uz/no citām teritorijām pārcēlušos iedzīvotāju īpatsvars statistiskajos reģionos, republikas pilsētās, novados, novadu pilsētās, pagastos (atbilstoši robežām 2020. gada sākumā), apkaimēs un blīvi apdzīvotās teritorijās salīdzinot stāvokli divos datumos (eksperimentālā statistika);"Laika periodi: 31.03.2000., 01.03.2011., 01.01.2016., 01.01.2017., 01.01.2018., 01.01.2019. un 01.01.2020. Neietver migrāciju no hierarhiski zemāka līmeņa teritorijas uz augstākām, kurās atrodas šī pati zemākā līmeņa teritorija (blīvi apdzīvotajām teritorijām - uz tām augstāku līmeņu teritoriju daļām, kas pārklājas ar blīvi apdzīvoto teritoriju), kā arī migrāciju uz/no nezināmām teritorijām. Nav iekļautas apkaimes un blīvi apdzīvotas teritorijas ar 10 un mazāk pastāvīgajiem iedzīvotājiem.
Administratīvo teritoriju, teritoriālo vienību un statistisko reģionu klasifikators publicēts https://data.gov.lv/dati/dataset/atvk.
Apkaimes publicētas https://data.gov.lv/dati/dataset/apkaimes.
Blīvi apdzīvotas teritorijas publicētas https://data.gov.lv/dati/dataset/bat.
Eksperimentālās statistikas aprēķināšanā izmanto jaunus datu avotus un metodes, cenšoties paplašināt statistikas klāstu vai detalizācijas līmeni atbilstoši lietotāju vajadzībām. Jāatzīmē, ka eksperimentālās statistikas metodes nav nemainīgas, aprobētas un starptautiski saskaņotas un var tikt mainītas, lai pilnveidotu datu kvalitāti. CSP publicē eksperimentālo statistiku, lai saņemtu lietotāju atsauksmes, izvērtētu datu analītisko potenciālu, atbilstību realitātei un lietotāju vajadzībām. CSP uzskata, ka arī eksperimentālo datu laikrindas var būt noderīgas lietotājiem un statistikas lietotāju viedoklis ir pamats lēmuma pieņemšanai par šīs statistikas iekļaušanu Oficiālās statistikas programmā. Publicējot eksperimentālo statistiku, CSP nodrošina datu lietotājiem jaunus informācijas avotus lēmumu pieņemšanai.
Iedzīvotāju skaita aprēķins visos norādītajos periodos veikts, izmantojot ģeotelpiskos datus – adrešu punktu koordinātas un administratīvo teritoriju robežas atbilstoši Valsts zemes dienesta datiem norādītajā laika brīdī. Šādi samazinātas teritoriālo vienību robežu izmaiņu rezultātā radītās iedzīvotāju skaita svārstības attiecīgajā teritoriālajā vienībā vai administratīvajā teritorijā. Iedzīvotāji, kuru dzīvesvietas ziņu pēdējais aktualizēšanas iemesls ir dzīvesvietas reģistrācijas anulēšana, iekļauti tās administratīvās teritorijas iedzīvotāju skaitā, kurā iepriekš bija deklarēta vai reģistrēta šīs personas dzīvesvieta. Teritoriālo vienību un apkaimju dalījumā šo personu dzīvesvieta norādīta kā nezināma.
Plašāk par iedzīvotāju skaita un galveno demogrāfisko rādītāju novērtēšanu eksperimentālajā statistikā: https://stat.gov.lv/lv/metadati/8113-iedzivotaju-skaits-un-galvenie-demografiskie-raditaji-eksperimentala-statistika.";Centrālā statistikas pārvalde;Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, ;CSV, JSON, ;624 skatījumi;administratīvā teri..., bat, blīvi apdzīvota ter..., eksperimentālā stat..., migrācija, novads, pagasts, pilsēta, reģions, ;https://data.gov.lv/dati/lv/dataset/iedzivotaju-ipatsvars-citas-teritorijas
Vidējās darījumu cenas ar LIZ;"Dati apkopoti par darījumiem ar zemēm, kam Kadastra informācijas sistēmā kā nekustamā īpašuma galvenais lietošanas mērķis ir reģistrēta lauksaimniecības zeme.
Statistiskajos aprēķinos izmantoti darījumi, piemērojot šādus atlases kritērijus: zemei noteikts lauku grupas zemes lietošanas mērķis, tirgus datu analīzē darījums atzīts par tipisku, lauksaimniecībā izmantojamās zemes (LIZ) platība darījumā lielāka/vienāda par 3 ha, LIZ platība no kopplatības lielāka/vienāda par 70%, krūmi, purvi, ūdeņi, zeme zem ceļiem, zeme zem ēkām, pārējās zemes aizņem mazāku platību par 20%, meža zemes platība mazāka par 20%, objekts atrodas lauku teritorijā.
Darījumi, kas atbilst brīvajam tirgum (to darījumu cena nav mākslīgi samazināta vai palielināta, neatspoguļojot reālo tirgus situāciju, piemēram, saistītu personu darījumi, citu zemes lietošanas veidu ietekme, utml.) un izvēlētajiem kritērijiem, tika izmantoti kopējo cenu tendenču novērtēšanai valstī.";Valsts zemes dienests;Cits;CSV, ;430 skatījumi;Kadastrālā vērtēšana, Kadastrālā vērtība, VZD, Valsts zemes dienests, ;https://data.gov.lv/dati/lv/dataset/videjas-darijumu-cenas-ar-liz
Apdzīvotie mājokļi režģa šūnās 01.03.2011.;"Apdzīvoto mājokļu skaits, vidējā platība, celšanas gads, ēkas tips un apdzīvoto mājokļu labiekārtojumi 1×1 km un 100×100 m režģa šūnās 01.03.2011. Dati veidoti, apstrādājot labotu 2011. gada tautas skaitīšanā iegūto informāciju.
Lauku skaidrojums

NUMB: Skaits
NUMB_X: Speciālās vērtības (90 – parādība nav konstatēta)
PC: Īpatsvars (%)
PC_X: Speciālās vērtības (20 – trūkst datu, vai tie ir apšaubāmi, 30 – esošās šūnas aizpildīšana loģiski nav iespējama, 90 – parādība nav konstatēta)
TIME: Laika periods (tautas skaitīšanas dati 01.03.2011.)
GRID: Režģa šūnas ID
INDICATOR: TOTAL – mājokļi, DW – tradicionālie mājokļi, SHELTER – treileri, šķūņi un citas pajumtes, CLQ_HMLS – kolektīvie mājokļi un nakts patversmes, SQM_AVG – dzīvojamo vienību vidējā lietderīgā platība (m²), Y_AVG – tradicionālo mājokļu vidējais celšanas gads, Y_MIN – senākā tradicionālā mājokļa celšanas gads, Y_LT1919 – pirms 1919. gada uzceltie tradicionālie mājokļi, Y1919-1945 – 1919.–1945. gadā uzceltie tradicionālie mājokļi, Y1946-1990 – 1946.–1990. gadā uzceltie tradicionālie mājokļi, Y_GE1990 – pēc 1990. gada uzceltie tradicionālie mājokļi, RES1 – individuālajās mājās esošie tradicionālie mājokļi, RES2 – divu dzīvokļu mājās esošie tradicionālie mājokļi, RES_SEMI – dvīņu mājās esošie tradicionālie mājokļi, RES_ROW – rindu mājās esošie tradicionālie mājokļi, RES_GE3 – daudzdzīvokļu mājās esošie tradicionālie mājokļi, NRES – nedzīvojamās ēkās esošie tradicionālie mājokļi, HEAT – dzīvojamās vienības ar centrālapkuri (ieskaitot vietējo centrālapkuri) kā galveno apkures veidu, HEAT_STOVE – dzīvojamās vienības ar krāsns apkuri, kamīnu vai plīti kā galveno apkures veidu, HEAT_OTH – dzīvojamās vienības ar cita veida apkuri (elektriskajiem sildītājiem vai citām iekārtām) kā galveno apkures veidu, NHEAT – dzīvojamās vienības bez apkures, WTR – dzīvojamās vienības ar ūdensvadu, BATH – dzīvojamās vienības ar vannu vai dušu, TOIL – dzīvojamās vienības ar mājoklī esošu tualeti ar ūdens novadu

Režģa pārklājums publicēts https://data.gov.lv/dati/dataset/rezgis.";Centrālā statistikas pārvalde;Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, ;CSV, ;301 skatījumi;mājoklis, režģis, ēka, ;https://data.gov.lv/dati/lv/dataset/majokli-rezgis-2011
Mājās pārsvarā lietotā valoda režģa šūnās 01.03.2011.;"Pastāvīgo iedzīvotāju īpatsvars, kuri mājās pārsvarā lieto latviešu un krievu valodu, 1×1 km un 100×100 m režģa šūnās 01.03.2011. Dati veidoti, apstrādājot labotu 2011. gada tautas skaitīšanā iegūto informāciju.
Režģa pārklājums publicēts https://data.gov.lv/dati/dataset/rezgis.";Centrālā statistikas pārvalde;Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, ;CSV, ;335 skatījumi;bat, blīvi apdzīvota ter..., iedzīvotāju struktūra, krievu, latviešu, pilsēta, režģis, valoda, ;https://data.gov.lv/dati/lv/dataset/valoda-rezgis-2011
Valsts budžeta izpilde pa budžeta programmām/ apakšprogrammām un klasifikācijas kodiem;"Pārskatā “Valsts budžeta izpilde pa budžeta programmām/apakšprogrammām un klasifikācijas kodiem”  Valsts kase norāda nekonsolidētu valsts pamatbudžeta un valsts speciālā budžeta finansēšanas plānu pārskata periodam, budžeta izpildi pārskata periodā sadalījumā pa gadskārtējā valsts budžeta likumā apstiprinātām programmām un apakšprogrammām un pilnā budžetu ieņēmumu, izdevumu ekonomiskās un finansēšanas klasifikāciju kodu griezumā atbilstoši Valsts kases valsts budžeta informācijas sistēmā reģistrētajiem datiem.
Pārskats Valsts kases interneta mājaslapā:
https://www.kase.gov.lv/parskati/kopbudzeta-izpildes-parskati/ceturksna-parskati";Valsts kase;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;XLS, XLSX, ;806 skatījumi;Valsts kase, budžets, valsts budžets, valsts informācijas..., ;https://data.gov.lv/dati/lv/dataset/valsts-budzeta-izpilde-pa-budzeta-programmam-apaksprogrammam-un-klasifikacijas-kodiem
Vidējās darījumu cenas dzīvokļiem;"Atbilstoši Nekustamā īpašuma valsts kadastra likuma 70. pantam, Valsts zemes dienests uzkrāj un analizē nekustamā īpašuma tirgus cenas. Informāciju par nekustamo īpašumu pirkumu darījumiem regulāri saņem no zemesgrāmatām un uzkrāj Kadastra informācijas sistēmas uzturētajā nekustamā īpašuma tirgus datu bāzē. 
2021.gada 1. martā nekustamā īpašuma tirgus datu bāzē reģistrēti ap 955 000 darījumu.
Datnēs ir apkopoti dati par darījumiem ar dzīvojamām telpu grupām, kas Kadastra informācijas sistēmā reģistrētas dzīvokļu īpašumu sastāvā.
Ņemot vērā nekustamo īpašumu tirgū cenu atšķirības pēc 2000. gada būvētām daudzdzīvokļu mājām, atsevišķi nodalīti dzīvokļu darījumi:
1) Ēkās, kas būvētas pirms 2000. gada;
2) Ēkās, kas būvētas pēc 2000. gada jeb jauno projektu mājas.
Vidējās darījumu cenas atspoguļotas pa dažādām teritoriju grupām:
1) Dzīvokļiem ēkās, kas būvētas pirms 2000. gada – Rīgā, Jūrmalā, pārējās republikas pilsētās, Pierīgas ietekmes reģiona pilsētās, reģionālās nozīmes pilsētās un mazpilsētās;
2) Jauno projektu dzīvokļiem – Rīgā, Jūrmalā un Pierīgas novados.
Dati pieejami no 2011. gada";Valsts zemes dienests;Cits;CSV, ;429 skatījumi;Kadastrālā vērtēšana, Kadastrālā vērtība, VZD, Valsts zemes dienests, ;https://data.gov.lv/dati/lv/dataset/videjas-darijumu-cenas-dzivokliem
Eiropas Komisijas pārraudzības ziņojumi;Eiropas Komisijas pārraudzības ziņojuma kvantitatīvo rādītāju aprēķiniem izmantotās datu kopas no Iepirkumu uzraudzības biroja tīmekļvietnē publicētajiem iepirkumu paziņojumiem. Dati satur informāciju par iepirkumiem atbilstoši Publisko iepirkumu likumam (PIL) un Sabiedrisko pakalpojumu sniedzēju iepirkumu likumam (SPSIL). Histogrammu datu kopas veidotas pēc Eiropas Komisijas noteiktajām prasībām.;Iepirkumu uzraudzības birojs;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;XLSX, ;298 skatījumi;2017, 2018, 2019, 2020, Eiropas Komisija, PIL, SPSIL, iepirkumi, līgumcena, ;https://data.gov.lv/dati/lv/dataset/eiropas-komisijas-parraudzibas-zinojumi
Darbspēka apsekojuma individuālie dati mācībām;Mācību procesā izmantojami stingri anonimizēti Latvijas darbspēka apsekojuma dati, kuri ir līdzvērtīgi statistiķu izmantotajiem, taču, lai nodrošinātu respondentu sniegtās informācijas konfidencialitāti, ir dzēsti vai mainīti identificējoši rādītāji. SPSS formātā sagatavoto datu atvēršanai un darbam ar tiem var izmantot arī bezmaksas programmatūru, piemēram, PSPP.;Centrālā statistikas pārvalde;Iedzīvotāji un sabiedrība, ;CSV, SAV, PDF, ;2033 skatījumi;PUF, darbspēka apsekojums, ;https://data.gov.lv/dati/lv/dataset/darbspeka-apsekojums
Aizsargājamās dzīvotnes - biotopi  un Aizsargājamo sugu atradnes;"Biotopu aizsardzības prasības Latvijā nosaka Sugu un biotopu aizsardzības likums (Saeimā pieņemts 2000.gada 16.martā), kas balstīts uz Direktīvas 92/43/EEK par dabisko dzīvotņu, savvaļas faunas un floras aizsardzību un Direktīvas 2009/147/EK par savvaļas putnu aizsardzību. Atbilstoši šim likumam ir izveidoti īpaši aizsargājamo biotopu saraksti (http://likumi.lv/doc.php?id=13405). Šajā sarakstā ir iekļauti biotopi, kas tradicionāli aizsargāti Latvijā, gan arī biotopi, kuru aizsardzību paredz Sugu un Biotopu direktīvā. Latvijā īpaši aizsargājamo biotopu sarakstos iekļauti 93 biotopi, sarakstu ir apstiprinājis Ministru kabinets.
Sugu aizsardzības prasības Latvijā nosaka Sugu un biotopu aizsardzības likums (Saeimā pieņemts 2000.gada 16.martā), kas balstīts uz Direktīvas 92/43/EEK par dabisko dzīvotņu, savvaļas faunas un floras aizsardzību un Direktīvas 2009/147/EK par savvaļas putnu aizsardzību. Atbilstoši šim likumam ir izveidoti īpaši aizsargājamo sugu saraksti, kuros tiek iekļautas apdraudētas, izzūdošas vai retas sugas un sugas, kuras apdzīvo specifiskus biotopus (http://likumi.lv/doc.php?id=12821). Šajā sarakstā ir iekļauti gan sugas, kas tradicionāli aizsargātas Latvijā, gan arī sugas, kuru aizsardzību paredz ES Putnu vai Biotopu direktīvas. Latvijā īpaši aizsargājamo sugu sarakstā iekļautas 723 augu un dzīvnieku sugas, sarakstu ir apstiprinājis Ministru kabinets.";Dabas aizsardzības pārvalde;Vide, ;SHP, ;692 skatījumi;aizsargājams, atradnes, biotops, daba, dzīvotnes, sugas, ;https://data.gov.lv/dati/lv/dataset/aizsargajamas-dzivotnes-biotopi-un-aizsargajamo-sugu-atradnes
Ministriju un citu centrālo valsts iestāžu rezultātu un to rezultatīvo rādītāju izpilde;Tabulā tiek atainoti Valsts budžeta likuma paskaidrojumos iekļautie rezultatīvie rādītāji, to  plāns un izpilde. Atbilstoši norādīta izpildes/novērtējuma novirze no plānotās vērtības (%), iemesli/faktori, kas ir noteikuši izpildi/neizpildi, kā arī izdarītais, lai sasniegtu plānoto vērtību, priekšlikumi rādītāja neizpildes novēršanai un ārējie faktori, kas radījuši ietekmi uz rādītāja izpildi/novērtējumu.;Finanšu ministrija;Cits;XLSX, ;163 skatījumi;budžets, paskaidrojumi, rezultatīvie rādītāji, valsts budžets, ;https://data.gov.lv/dati/lv/dataset/ministriju-un-citu-centralo-valsts-iestazu-rezultatu-un-to-rezultativo-raditaju-izpilde
Mikroliegumi;Mikroliegumi ir teritorijas, kas tiek noteiktas, lai nodrošinātu īpaši aizsargājamas sugas vai biotopa aizsardzību ārpus īpaši aizsargājamām dabas teritorijām, kā arī īpaši aizsargājamās dabas teritorijās, ja kāda no funkcionālajām zonām to nenodrošina. Līdzīgi kā īpaši aizsargājamās dabas teritorijās, mikroliegumos ir aizliegtas vai ierobežotas darbības, kas apdraud retās sugas vai biotopa pastāvēšanu.;Dabas aizsardzības pārvalde;Vide, ;SHP, ;501 skatījumi;mikroliegums, ;https://data.gov.lv/dati/lv/dataset/mikroliegumi
Īpaši aizsargājamās dabas teritorijas (ĪADT);Īpaši aizsargājamās dabas teritorijas (ĪADT) Latvijā ir ģeogrāfiski noteiktas platības, kas atrodas īpašā valsts aizsardzībā, lai aizsargātu un saglabātu dabas daudzveidību - retas un tipiskas dabas ekosistēmas, aizsargājamo sugu dzīves vidi, savdabīgas, skaistas un Latvijai raksturīgas ainavas, ģeoloģiskos un ģeomorfoloģiskos veidojumus, dendroloģiskos stādījumus un dižkokus, kā arī sabiedrības atpūtai, izglītošanai un audzināšanai nozīmīgas teritorijas. Mikroliegumi ir teritorijas, kas tiek noteiktas, lai nodrošinātu īpaši aizsargājamas sugas vai biotopa aizsardzību ārpus īpaši aizsargājamām dabas teritorijām, kā arī īpaši aizsargājamās dabas teritorijās, ja kāda no funkcionālajām zonām to nenodrošina. Līdzīgi kā īpaši aizsargājamās dabas teritorijās, mikroliegumos ir aizliegtas vai ierobežotas darbības, kas apdraud retās sugas vai biotopa pastāvēšanu. Par dižkokiem Latvijā saucam vietējo un svešzemju koku sugu varenākos un vecākos eksemplārus. Dižākie no tiem ir īpaši aizsargājamas dabas teritorijas - dabas pieminekļi, ja to stumbra apkārtmērs vai augstums sasniedz īpaši aizsargājamo dabas teritoriju aizsardzības un izmantošanas noteikumos noteiktos apmērus. Par šīm datu tēmām atbildīgā ministrijas institūcija ir Dabas aizsardzības pārvalde (DAP), kas uzkrāj un aktualizē informāciju par īpaši aizsargājamajām dabas teritorijām, mikroliegumiem un dižkokiem. Visa informācija ir pieejama digitālā veidā ar piesaisti Latvijas koordinātu sistēmai LKS-92. Publiskā pieeja Dabas datu pārvaldības sistēmai „Ozols” tiek nodrošināta bez maksas.http://ozols.daba.gov.lv/pub/Life/;Dabas aizsardzības pārvalde;Vide, ;SHP, ;1065 skatījumi;N2000, dabas parks, dižkoki, liegums, mikroliegums, nacionālais parks, parks, zonas, ;https://data.gov.lv/dati/lv/dataset/iadt
Režģa pārklājums;1×1 km un 100×100 m režģa pārklājums.;Centrālā statistikas pārvalde;Reģioni un pašvaldības, ;SHP, GeoPackage, ;732 skatījumi;režģis, ;https://data.gov.lv/dati/lv/dataset/rezgis
Darba ņēmēju mēneša vidējie un mediānas bruto darba ienākumi statistiskajos reģionos, republikas pilsētās, novados, novadu pilsētās, pagastos, apkaimēs un blīvi apdzīvotās teritorijās (eksperimentālā statistika);"Ienākumi summēti personu līmenī un dalīti ar mēnešu skaitu, kad bija ienākumi. Ietverti tie darba ņēmēji, kuru mēneša vidējie ienākumi pārsniedz resursa aprakstā norādīto slieksni (aprēķināts, izmantojot valstī noteikto minimālo stundas tarifa likmi un pieņemot, ka darba ņēmējs strādā pie darba devēja visas kalendārās darba dienas vismaz vienu stundu dienā). Darba ņēmēji ietverti teritorijā pēc faktiskās dzīvesvietas attiecīgā gada 1. janvārī. Plašāk par iedzīvotāju skaita un galveno demogrāfisko rādītāju novērtēšanu eksperimentālajā statistikā: https://stat.gov.lv/lv/metadati/8113-iedzivotaju-skaits-un-galvenie-demografiskie-raditaji-eksperimentala-statistika.
Datu sagatavošanā izmantoti Valsts ieņēmumu dienesta dati par darba ņēmējiem un to ienākumiem.
Nav iekļautas apkaimes un blīvi apdzīvotas teritorijas ar mazāk nekā 50 nodarbinātajiem (pēc faktiskās dzīvesvietas).
Administratīvo teritoriju, teritoriālo vienību un statistisko reģionu klasifikators publicēts https://data.gov.lv/dati/dataset/atvk.
Apkaimes publicētas https://data.gov.lv/dati/dataset/apkaimes.
Blīvi apdzīvotas teritorijas publicētas https://data.gov.lv/dati/dataset/bat.
Eksperimentālās statistikas aprēķināšanā izmanto jaunus datu avotus un metodes, cenšoties paplašināt statistikas klāstu vai detalizācijas līmeni atbilstoši lietotāju vajadzībām. Jāatzīmē, ka eksperimentālās statistikas metodes nav nemainīgas, aprobētas un starptautiski saskaņotas un var tikt mainītas, lai pilnveidotu datu kvalitāti. CSP publicē eksperimentālo statistiku, lai saņemtu lietotāju atsauksmes, izvērtētu datu analītisko potenciālu, atbilstību realitātei un lietotāju vajadzībām. CSP uzskata, ka arī eksperimentālo datu laikrindas var būt noderīgas lietotājiem un statistikas lietotāju viedoklis ir pamats lēmuma pieņemšanai par šīs statistikas iekļaušanu Oficiālās statistikas programmā. Publicējot eksperimentālo statistiku, CSP nodrošina datu lietotājiem jaunus informācijas avotus lēmumu pieņemšanai.";Centrālā statistikas pārvalde;Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, ;CSV, JSON, ;1877 skatījumi;administratīvā teri..., alga, apkaime, bat, blīvi apdzīvota ter..., bruto, darbs, eksperimentālā stat..., ienākumi, novads, pagasts, pilsēta, reģions, ;https://data.gov.lv/dati/lv/dataset/menesa-bruto-darba-ienakumi
Blīvi apdzīvotas teritorijas;Blīvi apdzīvota teritorija (BAT) ir no administratīvā iedalījuma neatkarīga nošķirta teritorija – apmešanās vai darba vieta, kurā kaimiņos vai netālu ir vismaz 50 pastāvīgie iedzīvotāji vai nodarbinātie. BAT ir aprēķinātas 01.01.2019. (ņemot vērā gan dzīves, gan darbavietas), 01.03.2011. un 31.03.2000. (tautas skaitīšanas brīdī, ņemot vērā tikai dzīvesvietas). Plašāk par blīvi apdzīvotu teritoriju noteikšanu metadatos.;Centrālā statistikas pārvalde;Reģioni un pašvaldības, ;SHP, PDF, CSV, JSON, ;6856 skatījumi;bat, blīvi apdzīvota ter..., robeža, ;https://data.gov.lv/dati/lv/dataset/bat
Autentifikācijas;"Autentifikāciju skaits izmantojot VISS koplietošanas komponenti ""Vienotās pieteikšanās modulis""";Valsts reģionālās attīstības aģentūra;Cits;CSV, ;222 skatījumi;autentifikācija, vienotās pieteikšan..., vpm, ;https://data.gov.lv/dati/lv/dataset/autentifikacijas
Autobusu kustības saraksts starppilsētu un vietējās nozīmes maršrutos (GTFS formātā);Starppilsētu un vietējās nosīmes kustības saraksts GTFS formātā.;VSIA Autotransporta direkcija;Iedzīvotāji un sabiedrība, Reģioni un pašvaldības, Transports, ;ZIP, ;1625 skatījumi;ATD, Autobuss, Autotransporta dire..., Biļetes, GTFS, Kustības saraksts, Maršruts, Pietura, Pieturvieta, Reiss, ;https://data.gov.lv/dati/lv/dataset/atd-gtfs
Pieturvietas. Regional bus stops.;"Sabiedriskā transporta reģionālās nozīmes maršrutu (autobusu) pieturvietu dati.
Regional bus stops.";VSIA Autotransporta direkcija;Reģioni un pašvaldības, Transports, ;XLS, ;1316 skatījumi;pieturvietas, transports, ;https://data.gov.lv/dati/lv/dataset/bus-stop
Datu izplatīšanas tīkla rādītāji;"Iestāžu skaits, nosūtīto ziņojumu daudzums, apjoms, sākot no 2020. gada, VISS koplietošanas komponentē ""Datu izplatīšanas tīkls""";Valsts reģionālās attīstības aģentūra;Cits;CSV, ;149 skatījumi;DIT, datu izplatīšanas t..., ziņojumi, ;https://data.gov.lv/dati/lv/dataset/datu-izplatisanas-tikla-raditaji
Maksājumi ar VRAA maksājumu moduli, sākot no 2020. gada.;"Maksājumu skaits un summa, sākot no 2020. gada, sadalījumā pa mēnešiem, izmantojot VISS koplietošanas komponenti ""Maksājumu modulis""";Valsts reģionālās attīstības aģentūra;Ekonomika un uzņēmējdarbība, ;CSV, ;166 skatījumi;MM, maksājumi, maksājumu modulis, ;https://data.gov.lv/dati/lv/dataset/maksajumi
Iepirkumu publikāciju statistika par vides aizsardzības prasībām;"Publisko iepirkumu likuma (PIL), Sabiedrisko pakalpojumu sniedzēju iepirkumu likuma (SPSIL), Aizsardzības un drošības jomas iepirkumu likuma (ADJIL) un Publiskās un privātās partnerības likuma (PPPL) kārtībā publicētajos iepirkumu paziņojumos norādīto vides aizsardzības prasību rādītāji pa gadiem. 
Dati par vides prasībām (sākot ar 2019. gadu) atrodami citās laikrindās: Publisko iepirkumu likuma publikāciju rādītāji un Sabiedrisko pakalpojumu sniedzēju iepirkumu likuma publikāciju rādītāji.";Iepirkumu uzraudzības birojs;Ekonomika un uzņēmējdarbība, Valsts pārvalde, Vide, ;XLS, CSV, ;281 skatījumi;2017, 2018, ADJIL, PIL, PPPL, SPSIL, Zaļais iepirkums, iepirkumi, paziņojumi, vide, vides aizsardzība, ;https://data.gov.lv/dati/lv/dataset/publikaciju-statistika-par-vides-aizsardzibas-prasibam
Prokuratūras darbs dažādās atbildības jomās;"Prokuratūras darbs krimināltiesiskajā jomā.
Prokuratūras darbs personu un valsts tiesību aizsardzības jomā.
Prokuratūras darbs sūdzību un iesniegumu izskatīšanā.";Latvijas Republikas Prokuratūra;Tieslietas, iekšlietas un drošība, ;json,xml, ;56 skatījumi;Iesniegums, aizsardzība, krimināltiesības, personas, prokuratūra, sūdzības, tiesības, ;https://data.gov.lv/dati/lv/dataset/prokuraturas-darbs-kriminaltiesiskaja-joma
Traktortehnikas, tās piekabju un numurēto agregātu tirdzniecības vietas;Pirms traktortehnikas vai tās piekabes iegādes aicinām pārliecināties vai traktortehnikas tirgotājs ir reģistrējies VTUA, jo TIKAI reģistrētam komersantam ir tiesības pircējam izsniegt rēķinu-uzziņu, kas ir pamatdokuments traktortehnikas reģistrācijai VTUA;Valsts tehniskās uzraudzības aģentūra;Ekonomika un uzņēmējdarbība, Zemkopība, pārtika un mežsaimniecība, ;CSV, XLSX, ;1340 skatījumi;VTUA, piekabes, tirdzniecība, traktors, traktortehnika, ;https://data.gov.lv/dati/lv/dataset/traktortehnikas-tas-piekabju-un-numureto-agregatu-tirdzniecibas-vietas
